label,task,result,cost,score,time,configCount,revisitCount,acceptCount,bestCount,saRunCount,searchAlg,tool,pca,thresh,seed,mode,improve
TN,jayhorn-recursive/SatAckermann01,SAFE,-1,-1,3.3177309036254900,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAckermann01,SAFE,-1,-1,3.332080125808720,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAckermann01,SAFE,-1,-1,3.8066306114196800,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatAckermann01,SAFE,-1,-1,3.9697213172912600,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatAckermann01,SAFE,-1,-1,4.011539459228520,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAckermann01,SAFE,-1,-1,4.0600972175598100,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatAckermann01,SAFE,-1,-1,4.213263988494870,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,10.076740503311200,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,8.083143711090090,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,8.615862369537350,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,8.636524200439450,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,9.835392713546750,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,70.9314014911652,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,69.0189459323883,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,69.5641610622407,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,69.6319584846497,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAckermann02,SAFE,-1,-1,70.8510186672211,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,5.601374864578250,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,5.640516042709350,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,5.688036203384400,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,5.776261329650880,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,5.871330499649050,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,9.346720933914190,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,9.409804582595830,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,9.496457576751710,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,9.691180229187010,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatAckermann03,SAFE,-1,-1,9.874133825302120,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,3.519073486328130,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,3.7560222148895300,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,3.950601577758790,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,4.112321615219120,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,4.367182731628420,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,5.6748621463775600,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,5.7456488609314000,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,6.06103253364563,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,6.07637619972229,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatAddition01,SAFE,-1,-1,6.132796764373780,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,3.834174871444700,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,3.9343972206115700,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,3.9589788913726800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,4.053968667984010,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,4.055067300796510,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,64.9283926486969,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,65.0968930721283,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,65.1570785045624,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,65.344099521637,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
UNK,jayhorn-recursive/SatEvenOdd01,UNKNOWN,-1,-1,65.4240322113037,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,4.03663969039917,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,4.113698482513430,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,4.421814203262330,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,4.4567036628723100,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,4.483791828155520,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,5.312771320343020,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,5.369982957839970,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatFibonacci01,SAFE,-1,-1,5.450069189071660,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
