O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,UNK,TP,TN,FP,FN
0,0,1,0,0,0,1,0,1,0,1,2000,20,0,20,lifo,tso,0,0,--round-to-nearest,--yices,677,198,23,38,64
0,0,1,0,0,0,1,0,1,1,1,0,10,1000,10,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--yices,627,226,87,52,8
0,0,1,0,0,0,1,1,0,0,1,1000,100,1000,10,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--boolector,1000,0,0,0,0
0,0,1,0,0,1,0,0,1,0,1,1000,20,1000,100,0,pso,--arrays-uf-never,0,--round-to-nearest,--z3,615,233,87,42,23
0,0,1,0,0,1,0,1,0,0,1,5000,1,1000,0,fifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--boolector,1000,0,0,0,0
0,0,1,0,0,1,0,1,1,1,0,100,100,2000,20,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--cprover-smt2,899,78,0,23,0
0,0,1,0,0,1,1,1,1,0,0,2000,10,5000,0,lifo,sc,--arrays-uf-never,0,--round-to-zero,--yices,751,198,0,51,0
0,0,1,0,1,0,0,0,1,0,0,1000,10,1000,20,fifo,pso,--arrays-uf-never,0,--round-to-nearest,--cvc4,396,146,205,34,219
0,0,1,0,1,0,0,0,1,1,0,100,10,100,100,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,91,79,407,19,404
0,0,1,0,1,0,0,1,0,1,1,1000,10,2000,100,0,sc,0,0,--round-to-nearest,--yices,560,373,0,67,0
0,0,1,0,1,0,0,1,1,0,1,100,100,2000,20,fifo,tso,0,--reachability-slice,--round-to-nearest,0,900,79,0,21,0
0,0,1,0,1,1,0,0,0,1,1,2000,20,2000,10,0,sc,0,--reachability-slice-fb,--round-to-minus-inf,--z3,415,362,141,52,30
0,0,1,0,1,1,0,0,1,0,0,0,20,1000,100,lifo,tso,--arrays-uf-never,0,--round-to-zero,--boolector,635,157,38,31,139
0,0,1,0,1,1,0,1,0,0,0,5000,20,5000,5,fifo,sc,0,--reachability-slice-fb,--round-to-zero,--z3,771,197,0,32,0
0,0,1,0,1,1,0,1,0,1,1,1000,1,2000,0,fifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,--yices,716,221,0,63,0
0,0,1,0,1,1,1,1,0,1,1,100,5,1000,20,0,sc,--arrays-uf-never,0,--round-to-zero,--boolector,560,250,0,190,0
0,0,1,0,1,1,1,1,0,1,1,1000,1,100,0,0,pso,0,0,--round-to-zero,--mathsat,290,448,0,262,0
0,0,1,1,0,0,0,0,1,0,0,0,5,2000,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--z3,577,138,107,32,146
0,0,1,1,0,0,0,0,1,0,0,2000,20,5000,100,fifo,sc,--arrays-uf-never,0,--round-to-zero,--yices,532,148,114,30,176
0,0,1,1,0,1,0,0,1,0,1,100,100,0,20,fifo,tso,0,--reachability-slice-fb,--round-to-minus-inf,--mathsat,20,76,448,23,433
0,0,1,1,0,1,0,1,1,0,1,100,20,0,10,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,0,901,76,0,23,0
0,0,1,1,0,1,1,0,0,0,0,2000,5,0,100,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices,911,0,83,0,6
0,0,1,1,0,1,1,0,1,0,0,0,5,1000,100,fifo,tso,--arrays-uf-never,0,--round-to-minus-inf,--cprover-smt2,680,195,17,47,61
0,0,1,1,0,1,1,0,1,1,1,2000,20,0,0,lifo,pso,0,--reachability-slice-fb,--round-to-zero,--mathsat,612,182,92,44,70
0,0,1,1,1,0,0,1,0,1,0,5000,20,5000,10,lifo,tso,--arrays-uf-never,0,--round-to-minus-inf,--cprover-smt2,750,202,0,48,0
0,0,1,1,1,0,1,1,0,0,1,1000,20,2000,0,0,sc,0,0,--round-to-minus-inf,0,547,364,0,89,0
0,0,1,1,1,1,0,1,1,0,1,2000,1,2000,0,lifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,0,794,152,0,54,0
0,0,1,1,1,1,0,1,1,0,1,5000,10,2000,10,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,824,145,0,31,0
0,0,1,1,1,1,1,0,1,0,0,2000,100,0,0,lifo,tso,0,0,--round-to-plus-inf,--boolector,689,176,27,41,67
0,1,0,0,0,0,1,0,1,0,1,0,5,2000,0,0,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--boolector,322,393,109,153,23
0,1,0,0,0,0,1,1,0,0,1,1000,1,0,100,lifo,sc,0,--reachability-slice,--round-to-zero,0,545,362,0,93,0
0,1,0,0,0,0,1,1,0,1,0,1000,10,1000,20,lifo,tso,0,--reachability-slice,--round-to-plus-inf,--cprover-smt2,552,355,0,93,0
0,1,0,0,0,0,1,1,0,1,0,1000,100,1000,5,0,tso,0,--reachability-slice-fb,--round-to-zero,--boolector,367,411,0,222,0
0,1,0,0,0,0,1,1,1,0,0,1000,10,0,0,fifo,tso,0,0,--round-to-minus-inf,--cprover-smt2,579,358,0,63,0
0,1,0,0,0,1,0,0,0,0,0,2000,5,2000,20,lifo,sc,--arrays-uf-always,0,--round-to-minus-inf,--mathsat,290,70,293,10,337
0,1,0,0,0,1,0,1,1,1,1,100,20,100,0,0,pso,0,--reachability-slice-fb,--round-to-nearest,--cvc4,873,94,0,33,0
0,1,0,0,0,1,1,1,1,1,0,1000,5,2000,5,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,0,511,392,0,97,0
0,1,0,0,1,0,0,0,0,1,0,0,5,100,100,0,tso,--arrays-uf-never,--reachability-slice,--round-to-zero,--mathsat,184,109,314,40,353
0,1,0,0,1,0,0,0,1,0,1,0,20,5000,100,0,tso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,0,201,103,312,33,351
0,1,0,0,1,0,0,1,0,1,1,100,100,5000,100,lifo,pso,--arrays-uf-always,0,--round-to-plus-inf,--boolector,917,73,0,10,0
0,1,0,0,1,0,0,1,1,0,0,1000,1,2000,10,lifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--cvc4,890,88,0,22,0
0,1,0,0,1,0,0,1,1,1,1,2000,1,1000,10,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,0,843,109,0,48,0
0,1,0,0,1,0,1,0,0,0,0,1000,1,100,0,fifo,tso,--arrays-uf-never,0,--round-to-nearest,--cprover-smt2,908,0,85,0,7
0,1,0,0,1,0,1,0,1,1,1,5000,1,2000,0,lifo,sc,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--mathsat,444,352,100,79,25
0,1,0,0,1,0,1,1,0,0,0,0,100,5000,5,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2,1000,0,0,0,0
0,1,0,0,1,0,1,1,1,1,0,5000,5,100,100,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--cvc4,551,357,0,92,0
0,1,0,0,1,0,1,1,1,1,1,1000,20,2000,5,0,pso,--arrays-uf-never,0,--round-to-nearest,--cprover-smt2,450,388,0,162,0
0,1,0,0,1,1,0,0,0,1,0,0,20,2000,20,lifo,tso,0,--reachability-slice,--round-to-minus-inf,--mathsat,237,96,294,35,338
0,1,0,0,1,1,0,0,0,1,0,2000,20,5000,5,fifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,0,240,96,295,33,336
0,1,0,0,1,1,0,0,0,1,1,5000,5,1000,0,0,pso,0,0,--round-to-nearest,--cprover-smt2,248,96,304,14,338
0,1,0,0,1,1,0,1,0,0,0,100,100,100,20,0,tso,--arrays-uf-always,0,--round-to-zero,--yices,1000,0,0,0,0
0,1,0,0,1,1,0,1,1,1,1,1000,100,0,5,lifo,pso,0,--reachability-slice,--round-to-plus-inf,0,838,112,0,50,0
0,1,0,0,1,1,1,0,0,0,0,2000,100,100,100,fifo,pso,0,--reachability-slice-fb,--round-to-zero,--z3,472,366,90,60,12
