TN,TP,FN,FP,prog,complete,score,falseRate,--drop-unused-functions,--full-slice,--no-assumptions,--no-built-in-assertions,--no-pretty-names,--no-self-loops-to-assumptions,--nondet-static,--partial-loops,--refine,--refine-strings,--slice-formula,--depth,--unwind,--max-nondet-tree-depth,--min-null-tree-depth,--paths,--mm,arrays-uf,reachability-slice,round,solver
0,168,0,22,1000,190,-184.0,11.5789473684,1,0,0,1,0,0,0,1,0,0,0,2000,1,0,20,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,--z3
0,81,0,17,1000,98,-191.0,17.3469387755,1,1,0,1,0,0,0,1,0,0,1,100,1,5000,100,lifo,tso,0,0,--round-to-nearest,--mathsat
91,0,12,0,1000,103,-202.0,11.6504854369,1,1,0,1,1,1,1,0,0,0,0,5000,100,2000,0,lifo,sc,0,--reachability-slice-fb,--round-to-minus-inf,--yices
0,93,0,19,1000,112,-211.0,16.9642857143,1,1,0,0,1,1,0,1,0,0,1,1000,1,5000,10,0,pso,0,0,--round-to-plus-inf,--z3
0,122,0,21,1000,143,-214.0,14.6853146853,1,0,0,0,0,0,0,1,1,1,1,1000,20,2000,20,lifo,tso,--arrays-uf-never,0,--round-to-zero,0
0,84,0,19,1000,103,-220.0,18.4466019417,1,1,0,1,0,1,0,1,1,0,0,0,5,5000,20,fifo,sc,--arrays-uf-never,0,--round-to-plus-inf,--cvc4
96,0,13,0,1000,109,-224.0,11.9266055046,1,1,1,1,1,1,1,0,0,0,0,2000,10,1000,100,fifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--boolector
0,222,0,28,1000,250,-226.0,11.2,1,0,0,1,1,0,0,1,1,0,0,2000,1,2000,0,0,tso,0,0,--round-to-minus-inf,--cprover-smt2
0,93,0,20,1000,113,-227.0,17.6991150442,0,1,0,1,1,0,0,1,0,0,1,1000,5,5000,5,0,tso,0,0,--round-to-plus-inf,--cvc4
0,89,0,20,1000,109,-231.0,18.3486238532,0,1,1,0,0,0,0,1,1,0,1,100,20,0,100,lifo,tso,--arrays-uf-never,0,--round-to-nearest,--z3
0,125,0,23,1000,148,-243.0,15.5405405405,0,0,0,0,0,0,0,1,1,0,1,5000,100,5000,10,lifo,pso,--arrays-uf-never,0,--round-to-plus-inf,--yices
97,0,14,0,1000,111,-254.0,12.6126126126,1,1,1,1,0,0,1,0,0,0,0,1000,10,0,10,lifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cprover-smt2
0,79,0,21,1000,100,-257.0,21.0,0,0,1,0,1,0,0,1,1,0,1,100,100,2000,20,fifo,tso,0,--reachability-slice,--round-to-nearest,0
0,88,0,22,1000,110,-264.0,20.0,0,1,0,0,1,0,0,1,1,0,0,1000,1,2000,10,lifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--cvc4
38,58,13,0,1000,109,-282.0,11.9266055046,0,0,0,1,0,1,0,0,0,0,1,5000,100,100,10,0,sc,--arrays-uf-never,0,--round-to-plus-inf,--cvc4
0,83,0,23,1000,106,-285.0,21.6981132075,0,1,0,1,0,0,0,1,1,0,1,100,20,5000,20,0,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cprover-smt2
0,78,0,23,1000,101,-290.0,22.7722772277,0,0,1,0,0,1,0,1,1,1,0,100,100,2000,20,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--cprover-smt2
0,76,0,23,1000,99,-292.0,23.2323232323,0,0,1,1,0,1,0,1,1,0,1,100,20,0,10,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,0
0,197,0,32,1000,229,-315.0,13.9737991266,0,0,1,0,1,1,0,1,0,0,0,5000,20,5000,5,fifo,sc,0,--reachability-slice-fb,--round-to-zero,--z3
96,72,16,5,1000,189,-328.0,11.1111111111,0,0,0,1,1,1,1,0,0,0,1,2000,20,5000,0,0,tso,--arrays-uf-always,--reachability-slice,--round-to-zero,--cvc4
0,82,0,26,1000,108,-334.0,24.0740740741,1,0,1,0,0,1,0,1,1,1,0,100,5,5000,10,fifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--mathsat
0,132,0,30,1000,162,-348.0,18.5185185185,0,0,0,0,0,0,0,1,1,0,1,0,1,1000,10,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,--z3
0,145,0,31,1000,176,-351.0,17.6136363636,0,0,1,1,1,1,0,1,1,0,1,5000,10,2000,10,lifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--cprover-smt2
0,84,0,28,1000,112,-364.0,25.0,1,1,0,1,1,0,0,1,1,0,1,100,10,0,100,fifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--mathsat
0,122,0,33,1000,155,-406.0,21.2903225806,0,0,0,0,0,1,1,1,1,1,0,0,100,1000,5,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices
0,136,0,34,1000,170,-408.0,20.0,0,0,0,0,0,1,1,1,1,1,1,0,100,0,100,lifo,sc,0,--reachability-slice-fb,--round-to-zero,--cprover-smt2
118,111,17,14,1000,260,-421.0,11.9230769231,1,0,0,0,1,1,0,0,1,0,0,0,1,2000,0,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-zero,--mathsat
0,116,0,34,1000,150,-428.0,22.6666666667,0,1,1,0,1,0,0,1,0,0,0,1000,5,1000,5,fifo,sc,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat
0,94,0,33,1000,127,-434.0,25.9842519685,0,1,0,0,0,1,0,1,1,1,1,100,20,100,0,0,pso,0,--reachability-slice-fb,--round-to-nearest,--cvc4
0,101,0,34,1000,135,-443.0,25.1851851852,1,1,1,1,1,0,0,1,1,1,0,2000,100,100,0,lifo,sc,--arrays-uf-never,0,--round-to-minus-inf,0
0,207,0,41,1000,248,-449.0,16.5322580645,1,0,1,1,0,0,0,1,0,0,1,5000,5,5000,100,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-minus-inf,--z3
0,155,0,39,1000,194,-469.0,20.1030927835,1,0,1,0,1,0,0,1,1,0,0,2000,10,1000,10,fifo,sc,--arrays-uf-always,0,--round-to-zero,--z3
0,153,0,40,1000,193,-487.0,20.725388601,1,0,1,0,0,1,0,1,1,0,0,0,100,5000,5,lifo,pso,0,--reachability-slice-fb,--round-to-nearest,--cvc4
31,218,6,36,1000,291,-488.0,14.4329896907,1,0,0,0,1,0,1,0,1,1,1,5000,100,1000,100,0,tso,--arrays-uf-never,0,--round-to-zero,--cprover-smt2
0,117,0,38,1000,155,-491.0,24.5161290323,0,1,1,1,1,0,0,1,0,0,1,5000,100,1000,10,0,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--z3
0,224,0,46,1000,270,-512.0,17.037037037,1,0,0,1,0,0,1,1,1,0,1,2000,20,5000,20,0,sc,0,--reachability-slice,--round-to-nearest,--yices
0,349,0,54,1000,403,-515.0,13.3995037221,1,1,0,0,0,1,1,1,1,0,0,100,20,1000,10,fifo,tso,0,0,--round-to-plus-inf,--cprover-smt2
0,234,0,47,1000,281,-518.0,16.7259786477,1,0,0,1,1,1,1,1,1,0,1,0,20,1000,20,0,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--z3
0,349,0,55,1000,404,-531.0,13.6138613861,1,1,0,0,0,0,1,1,1,0,0,100,10,1000,0,fifo,sc,--arrays-uf-always,0,--round-to-plus-inf,0
0,156,0,43,1000,199,-532.0,21.608040201,1,0,1,0,0,1,0,1,1,0,1,2000,10,2000,0,fifo,tso,0,--reachability-slice-fb,--round-to-nearest,--cprover-smt2
0,112,0,41,1000,153,-544.0,26.7973856209,1,1,1,0,0,1,0,1,0,0,0,5000,10,0,0,fifo,pso,--arrays-uf-never,0,--round-to-minus-inf,0
0,121,0,42,1000,163,-551.0,25.7668711656,0,0,0,1,0,1,1,1,1,1,1,1000,10,0,5,lifo,pso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--boolector
0,157,0,45,1000,202,-563.0,22.2772277228,1,0,1,1,0,1,0,1,1,1,1,0,5,5000,20,lifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,0
0,202,0,48,1000,250,-566.0,19.2,0,0,1,1,1,0,0,1,0,1,0,5000,20,5000,10,lifo,tso,--arrays-uf-never,0,--round-to-minus-inf,--cprover-smt2
0,361,0,58,1000,419,-567.0,13.8424821002,1,0,1,0,1,0,0,1,0,1,0,5000,20,2000,0,0,pso,--arrays-uf-always,0,--round-to-plus-inf,--cvc4
0,127,0,44,1000,171,-577.0,25.730994152,0,0,0,0,1,1,1,1,1,1,0,5000,20,2000,5,lifo,tso,0,--reachability-slice,--round-to-plus-inf,--boolector
0,102,0,43,1000,145,-586.0,29.6551724138,1,1,1,1,0,0,0,1,1,0,0,100,1,2000,5,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--yices
