TN,TP,FN,FP,prog,complete,score,falseRate,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
0,99,0,0,256,99,99.0,0.0,1,27,4,3,0,0,1,26,41,0,0,0,2,0,5,2,5,8,3,1,0,0,0,0,2,1,1,0,0,0,11,1
0,0,0,66,256,66,-1056.0,100.0,6,18,2,5,0,0,2,16,27,1,0,0,0,3,2,0,0,0,6,2,1,0,1,0,7,1,1,0,0,0,2,1
0,66,0,0,256,66,66.0,0.0,1,18,4,3,0,0,1,17,30,0,0,0,1,2,4,2,4,3,2,1,0,0,0,0,1,1,0,1,0,0,8,1
218,0,0,0,256,218,436.0,0.0,6,26,2,3,0,0,2,24,37,1,0,0,0,2,2,0,0,0,4,2,1,0,14,0,7,0,1,0,1,0,2,2
0,24,0,0,256,24,24.0,0.0,2,14,2,5,0,0,1,13,17,0,0,0,1,0,3,1,2,1,1,1,0,0,0,0,0,1,0,0,0,0,6,1
16,0,0,82,256,98,-1280.0,83.6734693878,0,16,4,2,0,1,1,14,30,0,0,1,2,0,3,3,4,5,2,1,0,1,0,0,0,1,0,0,0,0,7,1
0,0,0,66,256,66,-1056.0,100.0,2,10,2,1,0,0,1,9,15,1,0,0,0,2,1,0,0,0,2,1,1,0,1,0,3,1,1,0,0,0,1,1
0,102,0,0,256,102,102.0,0.0,0,19,4,3,0,0,1,18,28,0,0,0,1,1,3,2,4,3,2,1,0,0,0,0,2,1,0,0,0,0,8,1
0,11,0,0,256,11,11.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
7,0,0,26,256,33,-402.0,78.7878787879,5,17,2,3,2,1,2,14,27,1,0,0,0,3,1,0,1,1,4,3,2,0,3,0,6,0,1,0,0,0,1,3
0,116,0,0,256,116,116.0,0.0,0,12,3,2,0,0,0,12,21,3,1,0,6,3,0,0,2,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0
218,0,0,0,256,218,436.0,0.0,1,17,3,2,0,0,0,17,26,4,1,0,7,3,1,0,2,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0
139,0,0,35,256,174,-282.0,20.1149425287,0,25,4,2,0,0,1,24,34,0,0,0,2,0,4,2,4,7,2,1,0,0,0,0,1,1,0,0,0,0,10,1
218,0,0,0,256,218,436.0,0.0,12,22,2,6,0,0,6,16,43,1,0,0,0,2,6,0,0,0,7,6,0,0,1,0,13,0,1,0,0,0,6,1
0,10,0,0,256,10,10.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
139,0,0,35,256,174,-282.0,20.1149425287,0,27,4,2,0,0,1,26,36,0,0,0,2,0,4,2,4,7,3,1,0,0,0,0,2,1,0,0,0,0,10,1
0,11,0,0,256,11,11.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,0,0,256,11,11.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,0,0,256,10,10.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,0,0,256,11,11.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,1,0,256,11,-22.0,9.09090909091,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,1,0,256,11,-22.0,9.09090909091,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
139,0,0,35,256,174,-282.0,20.1149425287,0,28,4,2,0,0,1,27,37,0,0,0,2,0,4,2,4,8,2,1,0,0,0,0,3,1,0,0,0,0,10,1
213,0,0,0,256,213,426.0,0.0,8,14,3,4,0,0,1,13,37,1,0,2,1,0,9,1,0,1,1,7,0,0,0,0,0,0,0,13,1,1,0,0
0,10,3,0,256,13,-86.0,23.0769230769,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
77,0,0,35,256,112,-406.0,31.25,2,7,2,1,0,0,1,6,15,1,0,0,0,2,3,0,0,0,2,1,0,0,1,0,3,0,1,0,0,0,1,1
173,0,0,17,256,190,74.0,8.94736842105,1,39,4,3,0,0,1,38,50,0,0,0,1,3,5,2,4,6,4,1,0,0,0,0,9,2,2,1,0,0,11,1
111,0,0,8,256,119,94.0,6.72268907563,1,26,4,3,0,0,1,25,39,0,0,0,2,0,5,2,5,7,2,1,0,0,0,0,2,1,1,0,0,0,11,1
0,105,0,0,256,105,105.0,0.0,8,15,3,4,0,0,1,14,36,1,0,4,1,0,7,1,0,1,1,8,0,0,0,0,0,0,0,11,1,1,0,0
0,11,1,0,256,12,-21.0,8.33333333333,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
218,0,0,0,256,218,436.0,0.0,4,16,5,5,0,0,2,14,47,0,0,0,1,1,7,3,6,3,1,1,0,0,0,0,12,1,2,0,0,0,7,3
0,0,0,0,256,0,0.0,NA,4,38,2,2,0,0,2,36,36,1,0,2,0,2,2,0,0,0,3,2,14,0,1,0,5,0,1,1,0,0,2,1
165,0,0,21,256,186,-6.0,11.2903225806,3,9,2,2,0,1,1,7,18,1,0,0,1,3,1,0,0,0,3,2,0,0,1,0,4,0,1,0,0,0,1,1
0,82,0,0,256,82,82.0,0.0,0,15,4,3,0,0,1,14,22,4,0,1,1,1,0,8,2,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0
0,103,0,0,256,103,103.0,0.0,0,26,4,3,0,0,1,25,37,0,0,0,2,0,4,2,4,7,3,1,0,0,0,0,1,1,1,0,0,0,11,1
0,43,0,0,256,43,43.0,0.0,3,24,3,8,1,0,3,21,30,2,1,0,0,3,4,3,0,0,1,0,0,0,1,0,1,2,0,4,0,1,10,0
