TN,TP,FN,FP,prog,complete,score,falseRate,-rta,-specs,-bounded-heap-size,-heap-limit,-heap-mode,-initial-heap-size,-inline-count,-inline-size,-mem-prec,-solver,-step-heap-size,-solver-options
0,2,0,1,368,3,-14.0,33.3333333333,off,on,100,100,bounded,100,100,-1,5,eldarica,1,debug
0,0,0,0,368,0,0.0,0.0,on,off,5000,1,bounded,1000,1,100,2,eldarica,10,abstractPO
97,21,0,4,368,122,151.0,3.27868852459,on,off,10,100,auto,1,1,1000,3,eldarica,100,debug
0,0,0,0,368,0,0.0,0.0,on,on,5000,100,bounded,1000,10,1000,3,eldarica,10,abstractPO
98,21,1,4,368,124,121.0,4.03225806452,on,on,1000,10,auto,1,1000,1000,4,eldarica,100,abstract
89,74,0,5,368,168,172.0,2.97619047619,on,on,10,100,bounded,10,100,-1,1,eldarica,1000,debug
78,0,0,0,368,78,156.0,0.0,off,on,100,100,unbounded,5000,1,10,5,eldarica,1000,debug
37,18,0,1,368,56,76.0,1.78571428571,off,off,1,-1,bounded,1,1000,-1,1,eldarica,10,debug
92,82,0,37,368,211,-326.0,17.5355450237,on,off,5000,1000,bounded,10,1000,-1,1,spacer,100,off
99,20,0,4,368,123,154.0,3.25203252033,off,on,1,10,auto,1,100,100,2,eldarica,1,abstractPO
58,129,0,37,368,224,-347.0,16.5178571429,off,off,10,100,bounded,10,-1,1,1,eldarica,1000,abstract
42,0,1,0,368,43,52.0,2.32558139535,on,on,1,1,unbounded,10,-1,1,1,eldarica,5000,debug
99,0,13,0,368,112,-218.0,11.6071428571,on,on,1,1000,unbounded,5000,100,100,1,eldarica,1,abstract
0,0,0,0,368,0,0.0,0.0,off,off,1000,10,bounded,1000,100,100,2,eldarica,1000,abstractPO
38,122,0,97,368,257,-1354.0,37.7431906615,off,off,1000,1,bounded,1000,-1,-1,2,spacer,1000,off
38,2,1,1,368,42,30.0,4.7619047619,off,on,100,1,auto,100,10,10,4,eldarica,10,abstract
97,0,0,0,368,97,194.0,0.0,on,on,5000,100,unbounded,1,1000,100,4,eldarica,10,debug
96,2,0,1,368,99,178.0,1.0101010101,on,on,5000,100,auto,100,-1,1000,4,eldarica,1000,off
