TN,TP,FN,FP,prog,complete,score,falseRate,-rta,-specs,-bounded-heap-size,-heap-limit,-heap-mode,-initial-heap-size,-inline-count,-inline-size,-mem-prec,-solver,-step-heap-size,-solver-options
41,0,0,0,368,41,82.0,0.0,off,off,10,1,auto,100,-1,10,1,eldarica,5000,debug
99,0,0,0,368,99,198.0,0.0,off,on,1,10,unbounded,5000,1000,-1,5,eldarica,100,debug
0,2,0,1,368,3,-14.0,33.3333333333,on,off,5000,1000,bounded,100,1,1000,5,eldarica,1000,abstract
41,0,0,0,368,41,82.0,0.0,on,on,10,1,auto,100,1,1,2,eldarica,1000,debug
97,0,0,0,368,97,194.0,0.0,on,on,1,100,unbounded,10,1000,1000,2,eldarica,10,abstractPO
99,121,0,37,368,257,-273.0,14.3968871595,off,off,1000,-1,auto,100,1000,-1,4,spacer,1,off
97,0,0,0,368,97,194.0,0.0,on,off,1,1000,auto,10,100,100,2,eldarica,1000,debug
101,0,0,0,368,101,202.0,0.0,on,off,100,-1,auto,100,-1,1,5,eldarica,1,abstractPO
97,0,0,0,368,97,194.0,0.0,on,on,100,1000,unbounded,5000,10,-1,3,eldarica,1000,debug
0,0,0,0,368,0,0.0,0.0,off,on,100,100,bounded,5000,-1,1000,5,eldarica,10,abstract
101,0,0,0,368,101,202.0,0.0,off,off,1000,-1,unbounded,10,1,100,2,eldarica,100,abstractPO
30,74,0,62,368,166,-858.0,37.3493975904,off,on,100,1,bounded,10,1000,100,3,eldarica,100,debug
100,0,0,0,368,100,200.0,0.0,on,on,1000,-1,unbounded,1,1000,100,3,eldarica,1,abstractPO
38,0,1,0,368,39,44.0,2.5641025641,off,off,10,1,unbounded,5000,1000,10,3,eldarica,100,abstract
79,123,1,36,368,239,-327.0,15.4811715481,off,on,1000,10,auto,10,-1,10,3,eldarica,1,abstract
96,84,0,38,368,218,-332.0,17.4311926606,off,off,100,10,bounded,1000,10,1,4,spacer,10,off
