TN,TP,FN,FP,prog,complete,score,falseRate,--disable-uncaught-exception-check,--drop-unused-functions,--full-slice,--java-assume-inputs-non-null,--java-threading,--java-unwind-enum-static,--localize-faults,--no-assumptions,--no-pretty-names,--no-refine-strings,--no-self-loops-to-assumptions,--nondet-static,--refine,--slice-formula,--string-non-empty,--string-printable,--symex-driven-lazy-loading,--depth,--unwind,--max-nondet-array-length,--max-nondet-string-length,--max-nondet-tree-depth,--java-max-vla-length,--paths,arrays-uf,reachability-slice,solvert
153,0,196,0,368,349,-5966.0,56.1604584527,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,100,10,1000,10,0,0,--reachability-slice,--mathsat
67,105,10,25,368,207,-481.0,16.9082125604,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1000,1,10,10,1000,10,0,--arrays-uf-never,--reachability-slice-fb,--z3
19,0,7,0,368,26,-186.0,26.9230769231,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,5000,1,100,100,5000,0,fifo,--arrays-uf-never,--reachability-slice,--z3
0,0,0,0,368,0,0.0,0.0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1000,5,100,0,5000,10,fifo,--arrays-uf-always,0,--z3
3,0,1,0,368,4,-26.0,25.0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,5000,20,10,100,2000,0,fifo,0,--reachability-slice,--boolector
0,0,0,0,368,0,0.0,0.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,2000,100,0,10,100,0,fifo,--arrays-uf-always,0,--boolector
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,2000,100,100,100,2000,0,fifo,0,0,--cvc4
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,100,20,10,0,0,0,fifo,--arrays-uf-never,0,--cvc4
67,104,20,25,368,216,-802.0,20.8333333333,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,10,2000,100,0,--arrays-uf-never,--reachability-slice-fb,--z3
0,0,0,0,368,0,0.0,0.0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,100,1,100,0,5000,10,fifo,--arrays-uf-always,--reachability-slice-fb,0
161,0,202,0,368,363,-6142.0,55.6473829201,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,100,1,0,100,2000,0,fifo,--arrays-uf-never,--reachability-slice,--yices
68,0,0,1,368,69,120.0,1.44927536232,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,5000,10,10,100,5000,0,fifo,0,--reachability-slice-fb,--cvc4
9,4,1,1,368,15,-26.0,13.3333333333,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,5000,10,lifo,--arrays-uf-always,--reachability-slice-fb,--yices
61,3,65,4,368,133,-2019.0,51.8796992481,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5000,100,10,100,1000,10,fifo,0,0,--boolector
115,0,104,0,368,219,-3098.0,47.4885844749,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,2000,20,100,0,2000,10,0,--arrays-uf-never,--reachability-slice,--yices
0,0,0,0,368,0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,100,10,10,0,1000,10,lifo,0,--reachability-slice,0
0,0,0,0,368,0,0.0,0.0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,100,10,100,0,5000,10,fifo,--arrays-uf-never,--reachability-slice,--yices
68,0,0,1,368,69,120.0,1.44927536232,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,2000,20,10,0,1000,10,fifo,--arrays-uf-always,--reachability-slice,--z3
81,110,10,11,368,212,-224.0,9.90566037736,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1000,20,0,100,1000,10,fifo,0,0,--yices
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,2000,100,10,100,1000,100,lifo,0,0,--mathsat
117,131,8,22,368,278,-243.0,10.7913669065,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1000,10,0,10,2000,0,0,--arrays-uf-never,--reachability-slice-fb,--yices
0,0,0,0,368,0,0.0,0.0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,5,10,100,0,0,lifo,0,--reachability-slice-fb,--yices
12,4,16,1,368,33,-500.0,51.5151515152,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,5000,20,100,10,2000,100,lifo,--arrays-uf-always,--reachability-slice-fb,--yices
162,2,202,2,368,368,-6170.0,55.4347826087,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,100,5,0,0,0,100,0,0,--reachability-slice,--yices
94,0,79,0,368,173,-2340.0,45.6647398844,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1000,100,100,0,2000,100,fifo,0,--reachability-slice,--z3
131,157,6,21,368,315,-109.0,8.57142857143,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,5000,5,100,0,0,100,0,--arrays-uf-never,0,0
70,83,31,28,368,212,-1217.0,27.8301886792,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,20,100,0,100,10,0,--arrays-uf-always,0,--mathsat
0,0,0,0,368,0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,100,10,10,10,0,0,lifo,0,0,--mathsat
17,6,2,7,368,32,-136.0,28.125,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,100,100,10,5000,10,fifo,0,--reachability-slice-fb,--yices
0,0,0,0,368,0,0.0,0.0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,2000,1,0,0,5000,100,0,--arrays-uf-never,0,--cvc4
96,184,5,36,368,321,-360.0,12.7725856698,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1000,5,0,100,0,10,0,0,--reachability-slice-fb,--boolector
0,0,0,0,368,0,0.0,0.0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,2000,10,100,0,5000,100,fifo,0,--reachability-slice-fb,0
80,0,56,1,368,137,-1648.0,41.6058394161,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1000,10,0,10,1000,10,fifo,--arrays-uf-never,--reachability-slice-fb,--mathsat
116,0,81,0,368,197,-2360.0,41.116751269,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,100,5,0,100,100,100,0,--arrays-uf-never,--reachability-slice,--z3
0,0,0,0,368,0,0.0,0.0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,10,0,10,0,100,fifo,--arrays-uf-never,--reachability-slice,0
66,108,6,20,368,200,-272.0,13.0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,2000,5,0,10,5000,100,0,0,0,--yices
0,0,0,0,368,0,0.0,0.0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,2000,10,100,10,0,0,fifo,--arrays-uf-always,0,--cvc4
79,124,67,11,368,281,-2038.0,27.7580071174,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,2000,1,100,100,100,100,0,--arrays-uf-always,--reachability-slice-fb,--cvc4
0,0,0,0,368,0,0.0,0.0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,5000,5,100,10,5000,100,lifo,0,--reachability-slice,--boolector
139,0,137,0,368,276,-4106.0,49.6376811594,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,2000,20,10,10,2000,10,0,--arrays-uf-never,--reachability-slice,--cvc4
0,0,0,0,368,0,0.0,0.0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,100,100,0,10,0,0,fifo,--arrays-uf-always,0,--z3
103,181,3,38,368,325,-317.0,12.6153846154,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,5000,10,10,100,2000,100,0,--arrays-uf-never,--reachability-slice-fb,0
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,2000,10,100,100,100,10,fifo,0,0,--z3
159,0,204,0,368,363,-6210.0,56.1983471074,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,100,1,0,100,0,100,lifo,--arrays-uf-always,--reachability-slice,--z3
0,0,0,0,368,0,0.0,0.0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,100,1,100,10,100,100,fifo,--arrays-uf-always,0,--mathsat
164,0,204,0,368,368,-6200.0,55.4347826087,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,100,5,10,0,2000,10,lifo,--arrays-uf-never,0,--boolector
0,0,0,0,368,0,0.0,0.0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1000,20,10,10,100,100,fifo,--arrays-uf-never,--reachability-slice-fb,--z3
164,0,204,0,368,368,-6200.0,55.4347826087,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,100,10,10,100,100,0,fifo,0,0,--cvc4
62,0,79,0,368,141,-2404.0,56.0283687943,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,2000,100,0,0,1000,0,0,--arrays-uf-never,--reachability-slice,--yices
7,60,1,23,368,91,-326.0,26.3736263736,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,2000,10,10,10,1000,100,fifo,--arrays-uf-never,--reachability-slice-fb,--boolector
0,0,0,0,368,0,0.0,0.0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,100,1,0,100,1000,0,fifo,0,--reachability-slice,--boolector
128,2,121,2,368,253,-3646.0,48.6166007905,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,5000,1,10,10,1000,100,fifo,0,--reachability-slice,--yices
0,0,0,0,368,0,0.0,0.0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,5000,1,100,0,2000,10,fifo,0,0,--z3
20,0,2,0,368,22,-24.0,9.09090909091,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,5000,1,0,100,100,0,lifo,0,--reachability-slice-fb,--boolector
79,47,2,3,368,131,93.0,3.81679389313,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,5,10,0,2000,0,lifo,--arrays-uf-always,0,--mathsat
0,0,0,0,368,0,0.0,0.0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,100,20,100,100,100,0,fifo,0,--reachability-slice,0
77,0,47,0,368,124,-1350.0,37.9032258065,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2000,100,100,0,5000,10,lifo,--arrays-uf-always,0,--z3
71,0,39,0,368,110,-1106.0,35.4545454545,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,2000,20,0,0,2000,10,fifo,0,--reachability-slice-fb,--mathsat
2,0,1,0,368,3,-28.0,33.3333333333,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1000,100,100,10,100,0,fifo,0,--reachability-slice-fb,--mathsat
66,0,2,0,368,68,68.0,2.94117647059,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,5000,20,0,0,1000,100,lifo,--arrays-uf-never,--reachability-slice-fb,0
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,100,1,10,0,1000,100,0,--arrays-uf-always,0,0
68,143,18,20,368,249,-617.0,15.2610441767,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,2000,1,100,0,1000,0,0,--arrays-uf-always,0,--mathsat
97,0,87,0,368,184,-2590.0,47.2826086957,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2000,100,0,0,1000,10,fifo,--arrays-uf-always,--reachability-slice,0
1,0,0,0,368,1,2.0,0.0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,5000,20,10,10,100,0,fifo,--arrays-uf-never,--reachability-slice,--cvc4
68,4,71,4,368,147,-2196.0,51.0204081633,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1000,10,0,10,5000,100,lifo,--arrays-uf-never,--reachability-slice-fb,0
3,0,1,0,368,4,-26.0,25.0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,100,10,0,100,10,fifo,--arrays-uf-never,--reachability-slice,--cvc4
164,0,204,0,368,368,-6200.0,55.4347826087,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1000,10,0,100,2000,100,0,--arrays-uf-always,0,--boolector
52,133,3,80,368,268,-1139.0,30.9701492537,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5000,5,10,100,2000,100,0,--arrays-uf-always,--reachability-slice-fb,0
158,9,195,6,368,368,-6011.0,54.6195652174,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,100,100,100,0,1000,0,0,--arrays-uf-never,--reachability-slice-fb,--mathsat
0,0,0,0,368,0,0.0,0.0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,5000,10,100,10,100,10,lifo,--arrays-uf-never,0,--mathsat
18,0,13,0,368,31,-380.0,41.935483871,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,20,10,0,0,10,lifo,--arrays-uf-always,--reachability-slice-fb,--z3
72,0,2,0,368,74,80.0,2.7027027027,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,5000,1,10,0,5000,0,lifo,--arrays-uf-never,0,--boolector
71,0,1,0,368,72,110.0,1.38888888889,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5000,5,100,0,100,0,0,--arrays-uf-always,--reachability-slice-fb,--cvc4
128,147,24,21,368,320,-701.0,14.0625,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,2000,10,10,0,2000,10,0,0,0,0
103,103,28,26,368,260,-1003.0,20.7692307692,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,10,100,100,0,0,0,--arrays-uf-always,--reachability-slice-fb,--mathsat
77,0,56,0,368,133,-1638.0,42.1052631579,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1000,5,0,0,100,100,fifo,--arrays-uf-never,--reachability-slice-fb,0
164,0,204,0,368,368,-6200.0,55.4347826087,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1000,100,100,100,1000,0,0,--arrays-uf-always,0,--cvc4
0,0,0,0,368,0,0.0,0.0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,5,100,100,5000,0,lifo,--arrays-uf-never,0,--mathsat
164,0,204,0,368,368,-6200.0,55.4347826087,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,2000,1,10,100,2000,0,lifo,0,0,--yices
0,0,0,1,368,1,-16.0,100.0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,5,0,100,1000,100,fifo,--arrays-uf-always,--reachability-slice-fb,--yices
0,0,0,0,368,0,0.0,0.0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,5000,100,100,0,2000,0,0,0,--reachability-slice-fb,--mathsat
42,141,2,18,368,203,-127.0,9.85221674877,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1000,20,10,0,5000,0,0,0,--reachability-slice,--yices
0,0,0,0,368,0,0.0,0.0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,2000,20,100,0,100,0,lifo,--arrays-uf-never,0,0
164,0,204,0,368,368,-6200.0,55.4347826087,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,100,100,0,100,0,100,0,0,--reachability-slice-fb,--cvc4
0,0,0,0,368,0,0.0,0.0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,100,20,0,10,5000,10,lifo,--arrays-uf-always,--reachability-slice,--boolector
75,3,55,2,368,135,-1639.0,42.2222222222,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,100,100,0,10,0,100,0,--arrays-uf-always,0,0
