TN,TP,FN,FP,prog,complete,score,falseRate,--disable-uncaught-exception-check,--drop-unused-functions,--full-slice,--java-assume-inputs-non-null,--java-threading,--java-unwind-enum-static,--localize-faults,--no-assumptions,--no-pretty-names,--no-refine-strings,--no-self-loops-to-assumptions,--nondet-static,--refine,--slice-formula,--string-non-empty,--string-printable,--symex-driven-lazy-loading,--depth,--unwind,--max-nondet-array-length,--max-nondet-string-length,--max-nondet-tree-depth,--java-max-vla-length,--paths,arrays-uf,reachability-slice,solvert
0,0,0,0,368,0,0.0,0.0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,100,1,100,10,2000,10,lifo,0,--reachability-slice-fb,--cvc4
0,0,0,0,368,0,0.0,0.0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,2000,100,0,10,0,0,lifo,0,--reachability-slice,--mathsat
4,0,6,0,368,10,-184.0,60.0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2000,10,10,0,5000,100,fifo,--arrays-uf-never,--reachability-slice,--mathsat
72,0,2,0,368,74,80.0,2.7027027027,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,20,0,0,5000,10,0,--arrays-uf-always,0,--yices
28,44,16,13,368,101,-620.0,28.7128712871,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,2000,5,0,0,100,10,fifo,0,--reachability-slice-fb,--yices
19,58,2,17,368,96,-240.0,19.7916666667,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,20,10,100,5000,10,lifo,--arrays-uf-never,0,--cvc4
70,0,2,0,368,72,76.0,2.77777777778,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5000,10,10,0,0,100,0,--arrays-uf-always,--reachability-slice-fb,--boolector
88,130,1,18,368,237,-14.0,8.01687763713,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,100,10,0,0,0,fifo,0,--reachability-slice-fb,--mathsat
0,0,0,0,368,0,0.0,0.0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,100,1,0,100,5000,100,fifo,0,--reachability-slice,--mathsat
0,0,0,0,368,0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,10,100,0,100,100,lifo,--arrays-uf-never,0,--z3
0,0,0,0,368,0,0.0,0.0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,20,0,0,2000,100,fifo,0,--reachability-slice-fb,--cvc4
48,0,2,0,368,50,32.0,4.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,2000,20,100,10,0,100,0,--arrays-uf-never,--reachability-slice-fb,--z3
0,7,0,2,368,9,-25.0,22.2222222222,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1000,5,100,0,2000,100,fifo,--arrays-uf-always,0,--yices
0,0,0,0,368,0,0.0,0.0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,5000,100,10,10,100,100,lifo,--arrays-uf-always,0,--cvc4
0,0,0,0,368,0,0.0,0.0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,100,5,0,10,5000,0,fifo,--arrays-uf-never,--reachability-slice-fb,--mathsat
43,132,0,18,368,193,-70.0,9.32642487047,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,100,10,0,100,0,0,--arrays-uf-always,0,0
121,151,0,11,368,283,217.0,3.88692579505,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,10,100,100,1000,10,0,--arrays-uf-never,0,--cvc4
150,0,194,0,368,344,-5908.0,56.3953488372,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,5000,1,0,10,5000,10,0,--arrays-uf-always,--reachability-slice,0
1,0,0,0,368,1,2.0,0.0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,100,10,0,0,100,0,lifo,0,--reachability-slice,--boolector
75,121,1,11,368,208,63.0,5.76923076923,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,5,10,0,5000,100,fifo,0,0,0
46,131,1,25,368,203,-209.0,12.8078817734,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,5000,10,10,0,1000,100,0,0,--reachability-slice,--z3
12,0,13,0,368,25,-392.0,52.0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,2000,5,100,100,1000,100,fifo,0,--reachability-slice,--mathsat
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,100,100,100,10,0,10,lifo,--arrays-uf-never,0,--boolector
164,0,204,0,368,368,-6200.0,55.4347826087,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,100,100,100,10,5000,0,lifo,--arrays-uf-always,0,--cvc4
0,0,0,0,368,0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1000,20,100,10,0,100,fifo,--arrays-uf-always,--reachability-slice,--cvc4
45,132,1,22,368,200,-162.0,11.5,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,10,0,0,2000,100,0,0,--reachability-slice,--mathsat
0,0,0,0,368,0,0.0,0.0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1000,1,0,0,100,0,lifo,--arrays-uf-always,0,--cvc4
30,48,4,5,368,87,-100.0,10.3448275862,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,2000,1,10,0,0,10,lifo,--arrays-uf-never,--reachability-slice-fb,--boolector
62,137,4,19,368,222,-171.0,10.3603603604,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,5,100,10,1000,0,0,--arrays-uf-always,--reachability-slice,0
134,112,80,19,368,345,-2484.0,28.6956521739,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5000,5,0,10,2000,10,0,0,--reachability-slice-fb,--cvc4
14,0,17,0,368,31,-516.0,54.8387096774,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1000,10,100,100,0,100,lifo,0,--reachability-slice-fb,--z3
0,0,0,0,368,0,0.0,0.0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,5000,100,0,100,5000,100,fifo,0,0,0
156,18,186,8,368,368,-5750.0,52.7173913043,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,100,20,0,100,1000,10,0,--arrays-uf-always,--reachability-slice-fb,--mathsat
0,0,0,0,368,0,0.0,0.0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,20,100,10,2000,10,lifo,0,--reachability-slice-fb,0
54,59,56,10,368,179,-1785.0,36.8715083799,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1000,100,10,10,5000,10,fifo,--arrays-uf-always,--reachability-slice,--boolector
0,0,0,0,368,0,0.0,0.0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,2000,5,10,100,2000,0,fifo,--arrays-uf-always,--reachability-slice-fb,--boolector
79,97,5,12,368,193,-97.0,8.80829015544,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1000,5,100,10,1000,0,fifo,--arrays-uf-never,--reachability-slice,--cvc4
0,0,0,0,368,0,0.0,0.0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,5,10,10,5000,10,fifo,--arrays-uf-never,--reachability-slice,--z3
161,0,204,0,368,365,-6206.0,55.8904109589,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1000,1,100,10,2000,100,0,--arrays-uf-always,--reachability-slice,--boolector
0,0,0,0,368,0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,5000,20,0,0,100,100,fifo,--arrays-uf-never,0,--yices
70,0,2,0,368,72,76.0,2.77777777778,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,20,100,0,0,0,lifo,--arrays-uf-always,--reachability-slice,--boolector
66,0,1,0,368,67,100.0,1.49253731343,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,2000,5,0,0,2000,100,lifo,--arrays-uf-never,--reachability-slice-fb,--z3
135,0,135,0,368,270,-4050.0,50.0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,5,0,10,2000,0,0,--arrays-uf-never,--reachability-slice,--yices
0,0,0,0,368,0,0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,5000,5,10,0,2000,10,fifo,--arrays-uf-always,0,--yices
164,0,204,0,368,368,-6200.0,55.4347826087,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1000,20,100,0,1000,100,0,--arrays-uf-always,0,--boolector
73,0,0,0,368,73,146.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,100,100,10,lifo,--arrays-uf-never,0,0
1,0,5,0,368,6,-158.0,83.3333333333,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,2000,20,100,100,5000,100,lifo,0,--reachability-slice,--boolector
87,175,1,33,368,296,-211.0,11.4864864865,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,2000,100,0,100,5000,0,0,--arrays-uf-never,--reachability-slice-fb,--boolector
0,0,0,0,368,0,0.0,0.0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,100,20,10,10,0,10,lifo,--arrays-uf-always,0,--yices
164,0,204,0,368,368,-6200.0,55.4347826087,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1000,1,10,0,0,100,fifo,--arrays-uf-never,0,--yices
0,0,0,0,368,0,0.0,0.0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,5000,20,0,0,1000,0,fifo,0,0,--cvc4
0,0,0,0,368,0,0.0,0.0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,100,5,100,100,1000,0,lifo,--arrays-uf-always,--reachability-slice,0
114,147,3,20,368,284,-41.0,8.0985915493,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1000,100,100,100,2000,10,0,--arrays-uf-never,--reachability-slice,0
57,0,39,0,368,96,-1134.0,40.625,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1000,10,100,0,2000,100,lifo,--arrays-uf-always,0,--cvc4
0,0,0,0,368,0,0.0,0.0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,5000,10,0,10,100,0,fifo,--arrays-uf-always,0,0
164,0,204,0,368,368,-6200.0,55.4347826087,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,2000,5,10,0,0,100,lifo,0,0,--cvc4
164,0,204,0,368,368,-6200.0,55.4347826087,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,100,10,10,10,5000,100,0,--arrays-uf-always,0,--z3
